
#GA 4.0.2RePy_LDE - GRAPH 'max_quality' OPENED, 26.02.22-17:39:12#
0, 9
1, 9
2, 7
3, 7
4, 8
5, 9
6, 9
7, 9
8, 9
9, 9
10, 9
11, 9
12, 9
13, 9
14, 10
15, 10
16, 10
17, 10
18, 10
19, 9
20, 10
21, 10
22, 10
23, 10
24, 10
25, 10
26, 10
27, 10
28, 10
29, 10
30, 10
31, 10
32, 10
33, 10
34, 10
35, 10
36, 10
37, 10
38, 10
39, 10
40, 10
41, 10
42, 10
43, 10
44, 10
45, 10
46, 10
47, 10
48, 10
49, 9
50, 10
51, 10
52, 10
53, 9
54, 10
55, 10
56, 10
57, 10
58, 10
59, 10
60, 10
61, 10
62, 10
63, 10
64, 10
65, 10
66, 10
67, 10
68, 10
69, 10
70, 10
71, 10
72, 10
73, 10
74, 10
75, 10
76, 10
77, 10
78, 10
79, 10
80, 10
81, 10
82, 10
83, 10
84, 10
85, 10
86, 10
87, 10
88, 10
89, 10
90, 10
91, 10
92, 10
93, 10
94, 10
95, 10
96, 10
97, 10
98, 10
99, 10
100, 10
101, 10
102, 10
103, 10
104, 10
105, 10
106, 10
107, 10
108, 10
109, 10
110, 10
#GA 4.0.2RePy_LDE - GRAPH 'max_quality' OPENED, 26.02.22-17:48:05#
0, 61
1, 67
2, 70
3, 70
4, 73
5, 76
6, 78
7, 76
8, 78
9, 80
10, 81
11, 81
12, 82
13, 83
14, 83
15, 81
16, 85
17, 83
18, 87
19, 88
20, 86
21, 88
22, 88
23, 89
24, 90
25, 89
26, 92
27, 91
28, 90
29, 91
30, 91
31, 92
32, 93
33, 93
34, 93
35, 93
36, 94
37, 95
38, 93
39, 93
40, 94
41, 94
42, 97
43, 98
44, 98
45, 97
46, 98
47, 98
48, 98
49, 98
50, 98
51, 98
52, 99
53, 99
54, 97
55, 98
56, 98
57, 98
58, 97
59, 98
60, 98
61, 98
62, 98
63, 98
64, 97
65, 99
66, 98
67, 98
68, 97
69, 98
70, 98
71, 99
72, 99
73, 98
74, 99
75, 99
76, 99
77, 99
78, 99
79, 99
80, 100
81, 99
82, 99
83, 98
84, 99
85, 98
86, 98
87, 98
88, 98
89, 98
90, 98
91, 98
92, 100
93, 100
94, 99
95, 100
96, 100
97, 99
98, 100
99, 99
100, 99
