
#GA 4.0.2RePy_LDE - GRAPH 'min_quality' OPENED, 26.02.22-17:39:12#
0, 2
1, 1
2, 0
3, 5
4, 5
5, 5
6, 6
7, 5
8, 6
9, 7
10, 6
11, 6
12, 7
13, 7
14, 7
15, 8
16, 8
17, 8
18, 7
19, 7
20, 8
21, 8
22, 8
23, 7
24, 8
25, 8
26, 8
27, 8
28, 9
29, 8
30, 6
31, 9
32, 8
33, 9
34, 9
35, 9
36, 9
37, 8
38, 8
39, 8
40, 8
41, 8
42, 9
43, 8
44, 8
45, 8
46, 7
47, 6
48, 8
49, 7
50, 8
51, 7
52, 7
53, 7
54, 7
55, 8
56, 8
57, 8
58, 8
59, 8
60, 7
61, 9
62, 6
63, 8
64, 8
65, 8
66, 8
67, 7
68, 7
69, 7
70, 8
71, 9
72, 9
73, 8
74, 8
75, 6
76, 7
77, 8
78, 8
79, 8
80, 8
81, 8
82, 8
83, 6
84, 8
85, 9
86, 8
87, 8
88, 8
89, 8
90, 8
91, 8
92, 7
93, 8
94, 7
95, 7
96, 7
97, 8
98, 8
99, 8
100, 8
101, 8
102, 7
103, 8
104, 6
105, 8
106, 9
107, 9
108, 8
109, 7
110, 9
