
#GA 4.1.0RePy - GRAPH 'max_quality' OPENED, 28.02.22-01:32:33#
0, -0.07451345224129911
1, -0.07451345224129911
2, -0.07451345224130106
3, -0.0010272844109544285
4, -0.0010272844109544285
5, -0.001027279804482492
6, -2.9860192651725077e-05
7, -2.9431528510617865e-05
8, -2.9428294997822526e-05
9, -2.9428294997822526e-05
10, -2.942829497145746e-05
11, -7.586598601784779e-06
12, -7.586598601784779e-06
13, -7.586598601784779e-06
14, -9.896122034792401e-08
15, -9.802591832380034e-08
16, -9.802591832380034e-08
17, -9.802592767620698e-08
18, -9.896122034792401e-08
19, -9.598389056095537e-08
20, -9.598388883729722e-08
21, -8.847692814200411e-11
22, -8.56958613309803e-11
23, -2.1500738303998455e-11
24, -8.846087271729047e-11
25, -7.082407480802337e-11
26, -7.082407480802337e-11
27, -7.082407361207991e-11
28, -1.1867665399202063e-11
29, -1.186766535024641e-11
30, -1.186766535024641e-11
31, -1.2900797617204281e-11
32, -1.3320023314998497e-11
33, -1.3100003646963093e-11
34, -5.260829895639611e-13
35, -5.227108957482301e-13
36, -3.9673776282385596e-13
37, -3.9673776282385596e-13
38, -1.858820933769733e-15
39, -1.858788461477276e-15
40, -1.9853471549993708e-14
41, -1.9853471549993708e-14
42, -2.6287290910878303e-15
43, -2.6287290910878303e-15
44, -1.581983840587066e-14
45, -1.5819865216849136e-14
46, -3.1194548617198214e-16
47, -3.1194548617198214e-16
48, -1.6500643092372984e-16
49, -1.6500643092372984e-16
50, -1.6500643092372984e-16
51, -1.6496837242529556e-16
52, -1.6500643092372984e-16
53, -1.1061100075501823e-16
54, -1.8059339879785745e-17
55, -1.1214674531425995e-16
56, -8.75647281547385e-17
57, -8.75647281547385e-17
58, -8.75647946445173e-17
59, -8.773509122860848e-17
60, -8.773442568572162e-17
61, -6.834285269805588e-18
62, -6.834229543901315e-18
63, -6.834229543901315e-18
64, -6.834229543901315e-18
65, -1.821068927832621e-18
66, -2.8565844368693104e-21
67, -2.8565844368693104e-21
68, -2.855824959455087e-21
69, -2.855824959455087e-21
70, -2.855445258613299e-21
71, -1.966476553989871e-21
72, -1.9661614766334384e-21
73, -1.966476553989871e-21
74, -1.5835581315849852e-21
75, -1.5835581315849852e-21
76, -1.5835581315849852e-21
77, -1.214670351375037e-23
78, -1.214670351375037e-23
79, -1.214670351375037e-23
80, -1.214670351375037e-23
81, -1.1656473792809825e-23
82, -1.1656473792809825e-23
83, -1.1680745465141665e-23
84, -1.4164786414148488e-24
85, -1.33317492982351e-24
86, -1.33317492982351e-24
87, -1.33317492982351e-24
88, -1.324983398183695e-24
89, -2.9689569028898e-24
90, -2.9689569028898e-24
91, -1.900132417849472e-24
92, -1.900132417849472e-24
93, -1.3005602645580524e-24
94, -1.3005602645580524e-24
95, -1.3005602645580524e-24
96, -1.408034674285363e-24
97, -1.408034674285363e-24
98, -1.408034674285363e-24
99, -1.3661934918724406e-24
100, -1.3661934918724406e-24
